GroupName;Space;Role
VIA - Productivity Programs;VIA - Productivity Programs;Participant
INI-READ-AXE3_FIT4FUTURE_L1;AXE3_FIT4FUTURE;Guest
INI-READ-AXE3_FIT4FUTURE_L1;ini_Fit4_VIA-PP;Guest
INI-WRITE-FIT4_VIA_PP_L2;ini_Fit4_VIA-PP;Participant
INI-READ-FIT4_VIA-PP-L2;ini_Fit4_VIA-PP;Guest
FIT4-WRITE-SHA_FFIP_FILLING F-L3;Shantha_Filling F;Participant
FIT4-WRITE-SHA_FFIP_FILLING D1-L3;Shantha_Filling D1;Participant
FIT4-WRITE-SHA_ANTIGENS_SUITE E-L3;Shantha_Suite E;Participant
FIT4-WRITE-SHA_ANTIGENS_SUITE C-L3;Shantha_Suite C;Participant
FIT4-WRITE-VDR_SITE_AXIM-L3;Val de Reuil_AXIM;Participant
FIT4-READ-VDR_SITE_AXIM-L3;Val de Reuil_AXIM;Guest
FIT4-WRITE-VDR_SITE_FLU-L3;Val de Reuil_Flu;Participant
FIT4-READ-VDR_SITE_FLU-L3;Val de Reuil_Flu;Guest
FIT4-READ-SHA_FFIP_FILLING F-L3;Shantha_Filling F;Guest
FIT4-READ-SHA_FFIP_FILLING D1-L3;Shantha_Filling D1;Guest
FIT4-READ-SHA_ANTIGENS_SUITE E-L3;Shantha_Suite E;Guest
FIT4-READ-SHA_ANTIGENS_SUITE C-L3;Shantha_Suite C;Guest
FIT4-WRITE-MLE_LABS-L3;Marcy l'Etoile_Labs;Participant
FIT4-READ-MLE_LABS-L3;Marcy l'Etoile_Labs;Guest
INI-WRITE-MARS-L2;ini_MARS;Participant
INI-READ-MARS-L2;ini_MARS;Guest
INI-WRITE-eWORK_INSTRUCTIONS-L2;ini_eWork_Instructions;Participant
INI-READ-eWORK_INSTRUCTIONS-L2;ini_eWork_Instructions;Guest
INI-WRITE-iOBEYA-L2;ini_iObeya;Participant
INI-READ-iOBEYA-L2;ini_iObeya;Guest
MENU_COMMUNITY_MGT;xx - Menu_Community_Management;Guest
MENU_HOSHIN;xx - Menu_HoShin;Guest
MENU_DIGITAL;xx - Menu_Digital;Guest
MENU_FIT4;xx - Menu_Fit4;Guest
FIT4-WRITE-VDR_FFIP_SITE-L3;Val de Reuil_FFIP_Site;Participant
FIT4-WRITE-TOR_FFIP_SITE-L3;Toronto_FFIP_Site;Participant
FIT4-WRITE-TOR_ANTIGENS_SITE-L3;Toronto_Antigens_Site;Participant
FIT4-WRITE-SWR_FFIP_SITE-L3;Swiftwater_FFIP_Site;Participant
FIT4-WRITE-SWR_ANTIGENS_SITE-L3;Swiftwater_Antigens_Site;Participant
FIT4-WRITE-SHA_ANTIGENS_SITE-L3;Shanta_Antigens_Site;Participant
FIT4-WRITE-MLE_ANTIGENS_SITE-L3;Marcy l'Etoile_Antigens_Site;Participant
FIT4-READ-VDR_FFIP_SITE-L3;Val de Reuil_FFIP_Site;Guest
FIT4-READ-VDR_ANTIGENS_SITE-L3;Val de Reuil_Antigens_Site;Guest
FIT4-READ-TOR_FFIP_SITE-L3;Toronto_FFIP_Site;Guest
FIT4-READ-TOR_ANTIGENS_SITE-L3;Toronto_Antigens_Site;Guest
FIT4-READ-SWR_FFIP_SITE-L3;Swiftwater_FFIP_Site;Guest
FIT4-READ-SWR_ANTIGENS_SITE-L3;Swiftwater_Antigens_Site;Guest
FIT4-READ-SHA_ANTIGENS_SITE-L3;Shanta_Antigens_Site;Guest
